micronodo,area_oficial,faction,lat,long,cvli_count_500m,cvli_count_1km,cvli_count_2km,cvli_count_total
Cidade De Aracoiaba,BATURITÉ,CV,-4.3694275000000005,-38.80975324676851,16,24,24,24
Vila Machado,PEDRAS,CV,-3.8983525,-38.51673362585935,17,24,28,28
LV,MOURA BRASIL,CV,-3.7212625,-38.53449077503794,18,24,24,24
Jardim Guanabara,JARDIM GUANABARA,CV,-3.7183675,-38.58954681461313,24,24,24,24
Jardim Iracema,JARDIM IRACEMA,CV,-3.724541,-38.58360851258912,24,24,24,24
Conjunto Vitoria - Pajuçara,CIDADE NOVA,CV,-3.858458,-38.57659958334408,24,24,24,24
Comunidade dos Tribo - Joaquim Tavora,JOSÉ BONIFÁCIO,CV,-3.740108,-38.522376474618085,14,24,26,26
Alto Alegre I,ALTO ALEGRE II,CV,-3.8377665,-38.61218983035327,16,24,24,24
Alto da Mangueira - Maracanaú,MARACANAÚ,CV,-3.8872625,-38.63149666843999,24,24,24,24
Novo Maracanaú,MARACANAÚ,CV,-3.8664015,-38.62239021561527,24,24,24,24
Comunidade do Flamenguinho - Pajuçara,CIDADE NOVA,CV,-3.8585675,-38.57406320720275,18,24,28,28
JOSÉ EUCLIDES,JANGURUSSU,CV,-3.852485,-38.51890262720397,24,24,24,24
Conjunto Araturi ,MARECHAL RONDON,PCC,-3.765142,-38.638562658222256,24,24,24,24
Comunidade do Caroço,PRAIA DO FUTURO I,CV,-3.748988,-38.45124280526985,24,24,24,24
Maria Tomásia - Jangurussu,JANGURUSSU,CV,-3.8567925,-38.5176298625955,24,24,24,24
Castanhola,PARQUE DOIS IRMĂOS,CV,-3.8147955,-38.55442993598234,21,23,23,23
Cidade de Missão Velha,MISSÃO VELHA,PCC,-7.2467705,-39.141799464108914,11,23,27,28
Igrejinha,CURIÓ,MASSA,-3.821515,-38.47248938136278,22,22,22,22
Tabapuá,TABAPUÁ,CV,-3.740063,-38.612434744609246,22,22,22,22
Residencial/Jabuti - Maracanaú,MARACANAÚ,CV,-3.859822,-38.63196411427665,14,22,22,22
Residencial ll,MARACANAÚ,CV,-3.856367,-38.63573626122033,16,22,22,22
Timbaúba,JUAZEIRO DO NORTE,PCC,-7.216200000000001,-39.30091447667612,20,22,22,22
Favela da Aliança ,PARQUE ALBANO,CV,-3.7515465,-38.62066133609179,18,22,22,22
Beco do Rato,JOSÉ BONIFÁCIO,CV,-3.7386915,-38.52830636445352,12,22,24,24
Vila Nova,PARQUE ALBANO,CV,-3.7456945,-38.62683567032934,22,22,22,22
Jereissati Setor A - Maracanaú,MARACANAÚ,CV,-3.8758105,-38.619344899018905,22,22,22,22
Sítio Crack,MARAPONGA,CV,-3.791257,-38.57428131650531,22,22,22,22
Passarela ,MARACANAÚ,CV,-3.8819715,-38.62487542936204,22,22,22,22
Horto,MARACANAÚ,CV,-3.906553,-38.62002672759395,18,22,22,22
Conjunto Marcos Freire,MONDUBIM,CV,-3.8231525,-38.56308567024763,10,22,22,22
BARRACAL,PLANALTO AYRTON SENNA,CV,-3.8324735,-38.56379231818991,18,22,22,22
Conjunto Abelardo Rocha - Mondubim,MONDUBIM,CV,-3.8188435,-38.566551671817706,20,22,22,22
Bairro do Cruzeiro,NOVA OLINDA,PCC,-7.091108999999999,-39.67761850620667,16,22,30,33
Conjunto Novo Caiçara,MERUOCA,PCC,-3.667613,-40.3777994693162,19,22,27,28
Conjunto Castelo Branco,PRESIDENTE KENNEDY,CV,-3.7306745,-38.57273944137056,16,22,22,22
Comunidade do Japãozinho - Cidade Nova,CIDADE NOVA,CV,-3.842883,-38.579505627020666,8,21,21,21
Bairro Limoeiro ,JUAZEIRO DO NORTE,CV,-7.225184,-39.30080815653923,4,21,24,24
Itarema,ITAREMA,CV,-2.9247885,-39.91477017701784,14,21,25,29
Jereissati Setor G - Pacatuba,MARACANAÚ,CV,-3.8869085,-38.60708732690692,20,20,20,20
Jereissati Setor H - Pacatuba,MARACANAÚ,CV,-3.889052,-38.61488990432099,20,20,20,20
Lagoa Seca de Pacajus,PACAJUS,CV,-4.1744900000000005,-38.48681183026031,8,20,24,24
Velho Timbó,MARACANAÚ,CV,-3.906831,-38.60193316066046,6,20,24,24
Beco do Melão (Complexo do Pirambu),PIRAMBU,CV,-3.7109515,-38.5557016037296,20,20,20,20
Palmeiras 2,CONJUNTO PALMEIRAS,CV,-3.83846,-38.529086277944685,20,20,20,20
Campo Novo- Quixadá,QUIXADA,CV,-4.9874345,-39.01945186488087,20,20,20,20
Cidade de Deus- Forquilha,SOBRAL,CV,-3.805528,-40.26883171347347,20,20,20,21
Comunidade da Cidade Nobre,JANGURUSSU,CV,-3.8340295,-38.50594425519195,10,20,20,20
Conjunto Patativa do Assaré,JANGURUSSU,CV,-3.854315,-38.515313138522,20,20,20,20
Sitio São João,JANGURUSSU,CV,-3.8489095,-38.51498740090823,20,20,20,20
Cidade de Óros,ORÓS,PCC,-6.24469,-38.91462765984702,14,20,25,33
Arianópolis - Caucaia,URUCUTUBA,CV,-3.764712,-38.64869038309124,20,20,20,20
Lage ou Padre Júlio Maria,PARQUE SOLEDADE,CV,-3.7410905,-38.6700306915648,16,20,20,20
BOM NOME - LIMOEIRO DO NORTE - TCP,LIMOEIRO DO NORTE,CV,-5.143312,-38.085902608815424,16,20,22,26
Comunidade do Aterro/Ocupação,ANTÔNIO BEZERRA,CV,-3.7457625,-38.59533880631189,20,20,20,20
Favela da Swat ,SÃO LUÍS DO CURU,CV,-3.67032,-39.23958628480664,16,20,20,28
